post_id,post_url,owner_hashed,is_ai_generated,image_width,image_height,aspect_ratio,megapixels,is_standard_resolution,is_portrait,long_side,tag_count,avg_tag_length,max_tag_length,multiword_tag_ratio,source_type,has_source,score,comment_count,has_notes,has_parent,has_sample,change_hour,change_day_of_week,change_month,_leak_tags_removed
7069496,https://safebooru.org/index.php?page=post&s=view&id=7069496,e285b9008bf6,0,1878,2000,0.939,3.756,0,1,2000,38,10.053,21,0.657895,other,1,,0,0,0,1,12,Wednesday,August,0
7075962,https://safebooru.org/index.php?page=post&s=view&id=7075962,e285b9008bf6,0,1319,2048,0.644043,2.7013,0,1,2048,16,8.188,14,0.375,twitter,1,,0,0,0,0,16,Friday,August,0
7034713,https://safebooru.org/index.php?page=post&s=view&id=7034713,e285b9008bf6,1,2803,4096,0.684326,11.4811,0,1,4096,18,10.333,20,0.555556,twitter,1,,0,0,0,1,15,Saturday,August,1
6685262,https://safebooru.org/index.php?page=post&s=view&id=6685262,e285b9008bf6,1,640,1616,0.39604,1.0342,1,1,1616,9,11.444,19,0.555556,local_file,1,,0,0,0,0,2,Wednesday,April,2
7075995,https://safebooru.org/index.php?page=post&s=view&id=7075995,e285b9008bf6,0,1920,1080,1.777778,2.0736,0,0,1920,43,10.395,25,0.627907,twitter,1,,0,0,0,1,16,Friday,August,0
7075954,https://safebooru.org/index.php?page=post&s=view&id=7075954,e285b9008bf6,0,2592,4912,0.527687,12.7319,0,1,4912,32,9.875,18,0.5,pixiv,1,,0,0,0,1,16,Friday,August,0
7058336,https://safebooru.org/index.php?page=post&s=view&id=7058336,e285b9008bf6,1,1060,1484,0.714286,1.573,0,1,1484,27,9.926,23,0.555556,pixiv,1,1,0,0,0,0,23,Saturday,August,1
6882949,https://safebooru.org/index.php?page=post&s=view&id=6882949,e285b9008bf6,1,1232,2048,0.601562,2.5231,0,1,2048,28,11.786,23,0.821429,twitter,1,,0,0,0,0,4,Saturday,June,1
6874357,https://safebooru.org/index.php?page=post&s=view&id=6874357,e285b9008bf6,1,1024,2048,0.5,2.0972,1,1,2048,9,12.333,22,0.666667,local_file,1,,0,0,0,0,17,Wednesday,June,1
7058408,https://safebooru.org/index.php?page=post&s=view&id=7058408,e285b9008bf6,1,1042,1509,0.690524,1.5724,0,1,1509,23,11.739,23,0.73913,pixiv,1,,0,0,0,0,23,Saturday,August,1
7075375,https://safebooru.org/index.php?page=post&s=view&id=7075375,e285b9008bf6,0,1200,1350,0.888889,1.62,0,1,1350,43,8.907,21,0.511628,twitter,1,1,0,0,0,0,12,Friday,August,0
7075974,https://safebooru.org/index.php?page=post&s=view&id=7075974,e285b9008bf6,0,1500,2000,0.75,3.0,0,1,2000,40,10.875,27,0.6,pixiv,1,,0,0,0,1,16,Friday,August,0
7075337,https://safebooru.org/index.php?page=post&s=view&id=7075337,e285b9008bf6,0,2048,1968,1.04065,4.0305,0,0,2048,32,9.375,21,0.59375,twitter,1,,0,0,0,1,12,Friday,August,0
6622599,https://safebooru.org/index.php?page=post&s=view&id=6622599,e285b9008bf6,1,616,595,1.035294,0.3665,0,0,616,18,10.722,22,0.666667,local_file,1,,0,0,0,0,2,Saturday,April,1
7058421,https://safebooru.org/index.php?page=post&s=view&id=7058421,e285b9008bf6,1,1254,1254,1.0,1.5725,0,0,1254,23,11.174,23,0.695652,pixiv,1,,0,0,0,1,23,Saturday,August,1
7075343,https://safebooru.org/index.php?page=post&s=view&id=7075343,e285b9008bf6,0,2867,4096,0.699951,11.7432,0,1,4096,13,21.0,31,0.846154,twitter,1,,0,0,0,1,12,Friday,August,0
6924233,https://safebooru.org/index.php?page=post&s=view&id=6924233,e285b9008bf6,1,928,1232,0.753247,1.1433,0,1,1232,29,9.586,18,0.517241,pixiv,1,,0,0,0,0,7,Friday,July,1
7058340,https://safebooru.org/index.php?page=post&s=view&id=7058340,e285b9008bf6,1,980,1604,0.610973,1.5719,0,1,1604,29,9.552,23,0.517241,pixiv,1,,0,0,0,0,23,Saturday,August,1
7008692,https://safebooru.org/index.php?page=post&s=view&id=7008692,e285b9008bf6,1,896,1200,0.746667,1.0752,1,1,1200,2,10.5,14,0.5,local_file,1,,0,0,0,0,10,Friday,July,2
6779957,https://safebooru.org/index.php?page=post&s=view&id=6779957,e285b9008bf6,1,1632,2880,0.566667,4.7002,0,1,2880,33,9.394,25,0.454545,twitter,1,,0,0,0,1,20,Tuesday,May,1
6881338,https://safebooru.org/index.php?page=post&s=view&id=6881338,e285b9008bf6,1,800,1330,0.601504,1.064,0,1,1330,32,10.188,23,0.625,twitter,1,,0,0,0,0,14,Friday,June,1
7069430,https://safebooru.org/index.php?page=post&s=view&id=7069430,e285b9008bf6,0,3024,4299,0.703419,13.0002,0,1,4299,60,11.633,26,0.733333,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7075975,https://safebooru.org/index.php?page=post&s=view&id=7075975,e285b9008bf6,0,1440,1440,1.0,2.0736,0,0,1440,37,9.405,21,0.567568,pixiv,1,,0,0,0,1,16,Friday,August,0
6904279,https://safebooru.org/index.php?page=post&s=view&id=6904279,e285b9008bf6,1,1024,1536,0.666667,1.5729,1,1,1536,22,9.818,27,0.5,local_file,1,,0,0,0,0,20,Friday,June,1
7075963,https://safebooru.org/index.php?page=post&s=view&id=7075963,e285b9008bf6,0,1661,2203,0.753972,3.6592,0,1,2203,38,9.868,31,0.526316,twitter,1,,0,0,0,1,16,Friday,August,0
6722995,https://safebooru.org/index.php?page=post&s=view&id=6722995,e285b9008bf6,1,1536,2688,0.571429,4.1288,1,1,2688,17,9.706,18,0.588235,twitter,1,,0,0,0,1,8,Sunday,May,1
7075351,https://safebooru.org/index.php?page=post&s=view&id=7075351,e285b9008bf6,0,4341,2608,1.664494,11.3213,0,0,4341,37,9.568,19,0.540541,pixiv,1,1,0,0,0,1,12,Friday,August,0
7069490,https://safebooru.org/index.php?page=post&s=view&id=7069490,e285b9008bf6,0,2000,2829,0.706964,5.658,0,1,2829,36,9.528,18,0.555556,other,1,,0,0,0,1,12,Wednesday,August,0
7076011,https://safebooru.org/index.php?page=post&s=view&id=7076011,e285b9008bf6,0,3000,4000,0.75,12.0,0,1,4000,57,10.877,24,0.578947,twitter,1,,0,0,0,1,17,Friday,August,0
7018490,https://safebooru.org/index.php?page=post&s=view&id=7018490,e285b9008bf6,1,720,960,0.75,0.6912,0,1,960,15,11.2,23,0.666667,other,1,,0,0,0,0,16,Monday,August,1
6737382,https://safebooru.org/index.php?page=post&s=view&id=6737382,e285b9008bf6,1,1776,2368,0.75,4.2056,0,1,2368,49,9.837,29,0.55102,other,1,,0,0,0,1,15,Thursday,May,1
7069448,https://safebooru.org/index.php?page=post&s=view&id=7069448,e285b9008bf6,0,1536,2048,0.75,3.1457,1,1,2048,23,10.739,19,0.652174,twitter,1,,0,0,0,1,11,Wednesday,August,0
6938853,https://safebooru.org/index.php?page=post&s=view&id=6938853,e285b9008bf6,1,1408,2112,0.666667,2.9737,0,1,2112,36,10.361,28,0.583333,twitter,1,,0,0,0,1,11,Tuesday,July,1
7075992,https://safebooru.org/index.php?page=post&s=view&id=7075992,e285b9008bf6,0,2160,2700,0.8,5.832,0,1,2700,55,12.436,30,0.654545,pixiv,1,,0,0,0,1,16,Friday,August,0
6788357,https://safebooru.org/index.php?page=post&s=view&id=6788357,e285b9008bf6,1,1792,2400,0.746667,4.3008,0,1,2400,8,13.25,21,0.625,local_file,1,,0,0,0,1,12,Friday,May,1
6978762,https://safebooru.org/index.php?page=post&s=view&id=6978762,e285b9008bf6,1,1086,1448,0.75,1.5725,0,1,1448,22,8.727,16,0.5,local_file,1,,0,0,0,1,1,Tuesday,July,1
6631988,https://safebooru.org/index.php?page=post&s=view&id=6631988,e285b9008bf6,1,1280,768,1.666667,0.983,1,0,1280,4,6.0,8,0.0,twitter,1,0,0,0,0,1,12,Friday,May,2
6768760,https://safebooru.org/index.php?page=post&s=view&id=6768760,e285b9008bf6,1,1000,1000,1.0,1.0,0,0,1000,21,9.19,14,0.52381,other,1,,0,0,0,0,7,Saturday,May,1
7069438,https://safebooru.org/index.php?page=post&s=view&id=7069438,e285b9008bf6,0,2730,3180,0.858491,8.6814,0,1,3180,57,10.246,22,0.631579,twitter,1,1,0,0,0,1,11,Wednesday,August,0
7062494,https://safebooru.org/index.php?page=post&s=view&id=7062494,e285b9008bf6,1,2176,3840,0.566667,8.3558,0,1,3840,33,9.909,17,0.606061,twitter,1,,0,0,0,1,7,Monday,August,1
6931335,https://safebooru.org/index.php?page=post&s=view&id=6931335,e285b9008bf6,1,619,893,0.693169,0.5528,0,1,893,32,9.844,18,0.5,pixiv,1,,0,0,0,0,6,Sunday,July,1
7069494,https://safebooru.org/index.php?page=post&s=view&id=7069494,e285b9008bf6,0,1707,1200,1.4225,2.0484,0,0,1707,31,10.323,23,0.677419,pixiv,1,,0,0,0,1,12,Wednesday,August,0
7069650,https://safebooru.org/index.php?page=post&s=view&id=7069650,e285b9008bf6,1,2016,1152,1.75,2.3224,1,0,2016,27,12.037,25,0.62963,twitter,1,1,0,0,0,1,13,Wednesday,August,1
6853164,https://safebooru.org/index.php?page=post&s=view&id=6853164,e285b9008bf6,1,1024,768,1.333333,0.7864,1,0,1024,38,11.211,24,0.631579,twitter,1,,0,0,0,0,19,Thursday,June,1
7069409,https://safebooru.org/index.php?page=post&s=view&id=7069409,e285b9008bf6,0,3273,4364,0.75,14.2834,0,1,4364,44,10.023,19,0.568182,other,1,,0,0,0,1,11,Wednesday,August,0
7075379,https://safebooru.org/index.php?page=post&s=view&id=7075379,e285b9008bf6,0,1709,2048,0.834473,3.5,0,1,2048,59,10.559,26,0.627119,twitter,1,,0,0,0,1,12,Friday,August,0
7062970,https://safebooru.org/index.php?page=post&s=view&id=7062970,e285b9008bf6,1,1254,1254,1.0,1.5725,0,0,1254,28,11.786,30,0.678571,twitter,1,,0,0,0,0,10,Monday,August,1
6962230,https://safebooru.org/index.php?page=post&s=view&id=6962230,e285b9008bf6,1,1408,2112,0.666667,2.9737,0,1,2112,25,9.64,25,0.52,twitter,1,2,0,0,0,1,6,Wednesday,July,1
6866302,https://safebooru.org/index.php?page=post&s=view&id=6866302,e285b9008bf6,1,1656,2096,0.790076,3.471,0,1,2096,26,10.923,26,0.576923,pixiv,1,,0,0,0,1,16,Monday,June,1
7075417,https://safebooru.org/index.php?page=post&s=view&id=7075417,e285b9008bf6,0,1169,826,1.415254,0.9656,0,0,1169,41,10.732,27,0.658537,pixiv,1,,0,0,0,1,12,Friday,August,0
7076026,https://safebooru.org/index.php?page=post&s=view&id=7076026,e285b9008bf6,0,2866,4047,0.708179,11.5987,0,1,4047,49,10.837,29,0.693878,twitter,1,,0,0,0,1,17,Friday,August,0
6622644,https://safebooru.org/index.php?page=post&s=view&id=6622644,e285b9008bf6,1,634,640,0.990625,0.4058,1,1,640,21,11.952,22,0.857143,local_file,1,,0,0,0,0,2,Saturday,April,1
7075970,https://safebooru.org/index.php?page=post&s=view&id=7075970,e285b9008bf6,0,998,1318,0.757208,1.3154,0,1,1318,24,13.042,28,0.666667,twitter,1,,0,0,0,0,16,Friday,August,0
6745636,https://safebooru.org/index.php?page=post&s=view&id=6745636,e285b9008bf6,1,1086,1407,0.771855,1.528,0,1,1407,60,11.65,31,0.583333,twitter,1,2,0,0,0,0,1,Sunday,May,1
7075357,https://safebooru.org/index.php?page=post&s=view&id=7075357,e285b9008bf6,0,769,863,0.891078,0.6636,0,1,863,45,9.089,21,0.533333,twitter,1,,0,0,0,0,12,Friday,August,0
7075391,https://safebooru.org/index.php?page=post&s=view&id=7075391,e285b9008bf6,0,2045,2052,0.996589,4.1963,0,1,2052,25,11.76,19,0.68,other,1,,0,0,0,1,12,Friday,August,0
7076021,https://safebooru.org/index.php?page=post&s=view&id=7076021,e285b9008bf6,0,900,1200,0.75,1.08,0,1,1200,30,11.1,29,0.666667,twitter,1,,0,0,0,0,17,Friday,August,0
7069453,https://safebooru.org/index.php?page=post&s=view&id=7069453,e285b9008bf6,0,3000,6000,0.5,18.0,0,1,6000,29,10.897,19,0.655172,other,1,,0,0,0,1,11,Wednesday,August,0
6753657,https://safebooru.org/index.php?page=post&s=view&id=6753657,e285b9008bf6,1,1254,1254,1.0,1.5725,0,0,1254,4,14.25,25,0.75,local_file,1,,0,0,0,1,8,Tuesday,May,1
7075412,https://safebooru.org/index.php?page=post&s=view&id=7075412,e285b9008bf6,0,3053,4096,0.745361,12.5051,0,1,4096,32,10.281,19,0.65625,twitter,1,,0,0,0,1,12,Friday,August,0
6918032,https://safebooru.org/index.php?page=post&s=view&id=6918032,e285b9008bf6,1,1408,2112,0.666667,2.9737,0,1,2112,22,8.909,18,0.5,twitter,1,5,0,0,0,1,8,Wednesday,July,1
7081554,https://safebooru.org/index.php?page=post&s=view&id=7081554,e285b9008bf6,1,1664,2432,0.684211,4.0468,0,1,2432,12,8.5,19,0.166667,twitter,1,1,0,0,0,1,15,Sunday,August,1
6734065,https://safebooru.org/index.php?page=post&s=view&id=6734065,e285b9008bf6,1,1280,848,1.509434,1.0854,0,0,1280,47,11.191,23,0.659574,pixiv,1,,0,0,0,1,15,Wednesday,May,1
6897377,https://safebooru.org/index.php?page=post&s=view&id=6897377,e285b9008bf6,1,1408,1920,0.733333,2.7034,0,1,1920,26,9.538,25,0.461538,twitter,1,2,0,0,0,1,14,Wednesday,June,1
7075353,https://safebooru.org/index.php?page=post&s=view&id=7075353,e285b9008bf6,0,1771,1254,1.412281,2.2208,0,0,1771,34,11.0,22,0.647059,twitter,1,,0,0,0,1,12,Friday,August,0
7075344,https://safebooru.org/index.php?page=post&s=view&id=7075344,e285b9008bf6,0,912,1450,0.628966,1.3224,0,1,1450,44,10.659,19,0.659091,twitter,1,,0,0,0,0,12,Friday,August,0
7075428,https://safebooru.org/index.php?page=post&s=view&id=7075428,e285b9008bf6,0,946,2048,0.461914,1.9374,0,1,2048,18,11.611,18,0.777778,twitter,1,,0,0,0,0,12,Friday,August,0
